endpoint,signature,n,events,n_low,n_high,median_score,logrank_p,HR_high_vs_low,CI_low,CI_high,cox_p,continuous_HR_per_SD,continuous_CI_low,continuous_CI_high,continuous_cox_p,PH_test_p,trial_stratified_cox,analysis,arm,logrank_BH_10_states,cox_BH_10_states,continuous_cox_BH_10_states
OS,Tcell,181,123,91,90,0.05910263127762707,0.19368065720453853,1.2683584277944795,0.8885980597297453,1.8104170763624639,0.19039817854752902,1.1705268665726112,0.9820316376673471,1.3952026521495977,0.07882079043136374,0.2717747018176935,True,nivolumab_primary,NIVOLUMAB,,,
OS,C0,181,123,91,90,0.018628830121375728,0.1808545221783749,1.2540111431856151,0.8755139763262813,1.7961380283524417,0.21692621171556195,1.1448690570801836,0.958030981010437,1.3681448552710107,0.13667113846119458,0.15518802867808942,True,nivolumab_primary,NIVOLUMAB,0.23093355770987198,0.27115776464445246,0.18111207122965112
OS,C1,181,123,91,90,0.019116513844292082,0.43290133901980465,1.1623036185095157,0.8146102081760065,1.6584001624841223,0.4069155533528551,1.0798328817712808,0.895997482870004,1.301386527135639,0.4198763705215438,0.20713473271664515,True,nivolumab_primary,NIVOLUMAB,0.4329013390198046,0.4069155533528551,0.41987637052154375
OS,C2,181,123,91,90,-0.008179403152453418,0.09239532324675373,1.3745876178236642,0.9594728951231611,1.9693011951438135,0.0828423016772856,1.2223630891341268,1.014948377837006,1.4721650423855144,0.0343142456065702,0.865293313554811,True,nivolumab_primary,NIVOLUMAB,0.2173438609937804,0.20710575419321398,0.07442302542043587
OS,C3,181,123,91,90,0.042227234476543564,0.1440426127053808,1.2941770103138832,0.906460507506718,1.8477298460932319,0.1557809979039622,1.136531449519965,0.9426582408090626,1.3702778799656088,0.17987251320723793,0.22392308717232173,True,nivolumab_primary,NIVOLUMAB,0.23093355770987198,0.25963499650660365,0.19985834800804214
OS,C4,181,123,91,90,0.04605731662584551,0.18474684616789758,1.2644848002087126,0.8851553349925616,1.8063742563019225,0.19719955194755465,1.1898592788995144,0.98919456263014,1.4312301715639606,0.06508461375253687,0.18750669417983418,True,nivolumab_primary,NIVOLUMAB,0.23093355770987198,0.27115776464445246,0.10847435625422812
OS,C5,181,123,91,90,0.039759575743046435,0.06252204912464955,1.3937843967403276,0.9763314796931665,1.9897288830708544,0.06753744087483719,1.217268346629797,1.0117199170368987,1.4645775009021582,0.037211512710217935,0.8807311313563614,True,nivolumab_primary,NIVOLUMAB,0.20840683041549848,0.20710575419321398,0.07442302542043587
OS,C6,181,123,91,90,0.033048479424473455,0.024625922847504735,1.5040876609170448,1.050267863960124,2.1540025829151714,0.025905757421148572,1.2785132170315558,1.0592573045979334,1.5431529610691035,0.010475778994709448,0.259343525964186,True,nivolumab_primary,NIVOLUMAB,0.20840683041549848,0.16623362254733512,0.04573268897731769
OS,C7,181,123,91,90,0.0011354044860953539,0.04209232735392975,1.4787183937059105,1.0315613759407218,2.1197072116917264,0.03324672450946702,1.318433166264432,1.0828846645744024,1.6052180539367344,0.005906372884315294,0.24440250202994326,True,nivolumab_primary,NIVOLUMAB,0.20840683041549848,0.16623362254733512,0.04573268897731769
OS,C8,181,123,91,90,0.056660842630003205,0.10867193049689018,1.340847592032009,0.9386600940831915,1.915360284719524,0.10695222080385079,1.2775082562427178,1.0514182634713642,1.5522151378462892,0.013719806693195308,0.11215120659104746,True,nivolumab_primary,NIVOLUMAB,0.2173438609937804,0.21390444160770156,0.04573268897731769
OS,C9,181,123,91,90,0.015967057497894687,0.31136873222812866,1.2024403926163385,0.8431223024558311,1.7148910586089958,0.3087593559943315,1.1468090807534972,0.9539123463182551,1.3787127011981235,0.1448896569837209,0.6698816875748945,True,nivolumab_primary,NIVOLUMAB,0.34596525803125405,0.3430659511048128,0.18111207122965112
PFS,Tcell,181,159,91,90,0.05910263127762707,0.597244974106995,0.9238336125003063,0.6722661674200063,1.2695396331794744,0.6252144787937242,0.9898321929416484,0.8559628049502807,1.1446382535752628,0.8903602442965317,0.15334299329568649,True,nivolumab_primary,NIVOLUMAB,,,
PFS,C0,181,159,91,90,0.018628830121375728,0.19744668482635847,0.829539161992887,0.6057852684088888,1.135939180375361,0.24392092565959347,0.9701917563548962,0.8382858548536648,1.1228533067199509,0.6848386939992801,0.2970356076846618,True,nivolumab_primary,NIVOLUMAB,0.6581556160878616,0.7738969360851987,0.876776282803657
PFS,C1,181,159,91,90,0.019116513844292082,0.3511864276666976,1.152666823847171,0.8419988779487307,1.5779603056416731,0.3752476340854768,1.0123628917428467,0.8667323037881021,1.1824627051497323,0.8767762828036569,0.4634021112610829,True,nivolumab_primary,NIVOLUMAB,0.7375067517175791,0.7738969360851987,0.876776282803657
PFS,C2,181,159,91,90,-0.008179403152453418,0.15900677054442763,1.2700698670166797,0.9243616857601739,1.745071752705986,0.1402719631574837,1.0748704845733845,0.9235466761107267,1.2509888113857546,0.35101799357745855,0.7463612272920159,True,nivolumab_primary,NIVOLUMAB,0.6581556160878616,0.7013598157874185,0.876776282803657
PFS,C3,181,159,91,90,0.042227234476543564,0.7842819629746608,1.0307704096266992,0.753470372113739,1.4101253037745285,0.8496618753984754,0.9770192555419408,0.8441208247113776,1.13084122290919,0.7553040775916466,0.9177631201898473,True,nivolumab_primary,NIVOLUMAB,0.8714244033051787,0.8496618753984754,0.876776282803657
PFS,C4,181,159,91,90,0.04605731662584551,0.36875337585878953,0.8832508692146201,0.6446960577266183,1.2100773513636018,0.43960154445033095,0.9691601344348686,0.8331675060475348,1.1273499738769506,0.6846868497073599,0.353862200528442,True,nivolumab_primary,NIVOLUMAB,0.7375067517175791,0.7738969360851987,0.876776282803657
PFS,C5,181,159,91,90,0.039759575743046435,0.7464687624367491,0.9655909432359544,0.7052194245484258,1.3220932906893814,0.8271174611602925,0.9796791540734692,0.8387063790800833,1.1443471384810646,0.7956403419325764,0.11561173858805884,True,nivolumab_primary,NIVOLUMAB,0.8714244033051787,0.8496618753984754,0.876776282803657
PFS,C6,181,159,91,90,0.033048479424473455,0.5713322109377319,1.122970767831004,0.8200074270302063,1.537868199523638,0.46970589292168985,1.0883324239878955,0.9351762112093207,1.266571423552014,0.2740107194837989,0.5380358176847063,True,nivolumab_primary,NIVOLUMAB,0.8714244033051787,0.7738969360851987,0.876776282803657
PFS,C7,181,159,91,90,0.0011354044860953539,0.04127817232547747,1.4331623578161805,1.044721956221361,1.9660296518416729,0.025667174356964532,1.0944121097077348,0.933227460161986,1.2834361578548452,0.2670707718641727,0.9893360085099971,True,nivolumab_primary,NIVOLUMAB,0.41278172325477475,0.25667174356964534,0.876776282803657
